addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
경기도 가평군 가평읍 문화로 131,,31,0,A02,A0206,A02060700,129877,14,20071106103359,54774.71983133978,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image3_1.jpg,Type3,127.5085264086,37.8242478130,6,20240823153605,1,,가평문화원
경기도 가평군 가평읍 석봉로 100,,31,0,A02,A0206,A02060600,2772315,14,20211110224443,55177.69979173608,http://tong.visitkorea.or.kr/cms/resource/53/3332053_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/53/3332053_image3_1.png,Type3,127.5129954137,37.8253449903,6,20240710090647,1,,가평뮤직빌리지
경기도 가평군 북면 석장모루길 13,,31,0,A02,A0206,A02060100,130915,14,20070710090000,61035.22656806478,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image3_1.jpg,Type3,127.5480323037,37.8792143684,6,20241127153251,1,,가평현암농경유물박물관
서울특별시 종로구 북촌로 52,(가회동),1,0,A02,A0206,A02060100,130446,14,20071106105801,1478.4997801844859,http://tong.visitkorea.or.kr/cms/resource/90/3355090_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/90/3355090_image3_1.png,Type3,126.9852144301,37.5814804075,6,20241205104418,23,,가회민화박물관
서울특별시 성북구 성북로 102-11 (성북동),,1,0,A02,A0206,A02060500,130511,14,20040528090000,3128.7550133148866,http://tong.visitkorea.or.kr/cms/resource/18/2384418_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2384418_image2_1.jpg,Type3,126.9973796423,37.5936764304,6,20241016174237,24,,간송미술관(서울 보화각)
부산광역시 남구 우암로 84-1,,6,,A02,A0206,A02060300,3008288,14,20230906154355,329849.8513441029,http://tong.visitkorea.or.kr/cms/resource/61/3008261_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/61/3008261_image3_1.JPG,Type3,129.0813547668,35.1184857691,6,20241106160721,4,,감만창의문화촌
충청북도 음성군 음성읍 생음대로 594,,33,0,A02,A0206,A02060200,987769,14,20100327024419,90564.3002039947,http://tong.visitkorea.or.kr/cms/resource/25/3335425_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/25/3335425_image3_1.JPG,Type3,127.6470390172,36.9506931176,6,20240719154434,6,,감우재전승기념관
전라남도 해남군 문내면 관광레저로 12,,38,0,A02,A0206,A02061100,1623934,14,20120507225428,337770.05260694725,,,,126.3108529592,34.5732988681,6,20231210150456,23,,강강술래 전수관
충청남도 논산시 강경읍 계백로167번길 46-11,,34,,A02,A0203,A02030400,3082347,14,20240116165644,156164.9544481253,,,,127.0155005764,36.1618473607,6,20240717214654,3,,강경구락부
서울특별시 강남구 논현로131길 40 (논현동),,1,0,A02,A0206,A02060700,130373,14,20071106105448,7284.81165773794,http://tong.visitkorea.or.kr/cms/resource/87/1807787_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1807787_image3_1.jpg,Type3,127.0271208603,37.5139001229,6,20240926195929,1,,강남문화원
서울특별시 강동구 상암로 168,(천호동),1,0,A02,A0206,A02060700,130376,14,20071106105454,14411.757973240556,http://tong.visitkorea.or.kr/cms/resource/92/1865292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1865292_image3_1.jpg,Type3,127.1412123500,37.5457151498,6,20240902142558,2,,강동문화원
서울특별시 강동구 동남로 870,,1,0,A02,A0206,A02060600,1750737,14,20121113010214,15739.922092119758,http://tong.visitkorea.or.kr/cms/resource/74/2030474_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2030474_image3_1.jpg,Type3,127.1573440585,37.5512009153,6,20230328135047,2,,강동아트센터
강원특별자치도 강릉시 노암동,노암동길 37-1,32,,A02,A0206,A02060900,3022375,14,20231023140540,171668.91137202198,http://tong.visitkorea.or.kr/cms/resource/91/3022291_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3022291_image3_1.jpg,Type3,128.8998721711,37.7460638413,6,20240913145931,1,033-640-9941,강릉교육문화관
강원특별자치도 강릉시 단오장길 1,(노암동),32,0,A02,A0206,A02061100,1722228,14,20120920183109,171268.1558838334,http://tong.visitkorea.or.kr/cms/resource/67/3047867_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3047867_image3_1.jpg,Type3,128.8950253200,37.7481857234,6,20240809105531,1,,강릉단오제전수교육관
강원특별자치도 강릉시 하슬라로 96,(교동),32,0,A02,A0206,A02060700,129942,14,20071106103624,169536.95082315782,http://tong.visitkorea.or.kr/cms/resource/08/3069208_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3069208_image3_1.jpg,Type3,128.8738046819,37.7587674189,6,20240521143123,1,,강릉문화원
강원특별자치도 강릉시 율곡로3139번길 24,(죽헌동),32,0,A02,A0206,A02060100,129784,14,20071106103001,170067.68567845534,,,,128.8766149376,37.7782679956,6,20240520135515,1,,강릉시 오죽헌/시립박물관
강원특별자치도 강릉시 화부산로40번길 46,(교동),32,0,A02,A0206,A02060500,2706817,14,20210223024410,171065.80348748268,,,,128.8908475340,37.7606147594,6,20240909164125,1,,강릉시립미술관
강원특별자치도 강릉시 종합운동장길 84,(교동),32,0,A02,A0203,A02030400,2774698,14,20211116184519,171627.1605899554,http://tong.visitkorea.or.kr/cms/resource/88/2776888_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/2776888_image2_1.JPG,Type3,128.8954273345,37.7716996777,6,20230701104744,1,,강릉아트센터
강원특별자치도 강릉시 죽헌길 7,,32,0,A02,A0206,A02060100,2551386,14,20180620185244,169379.62413175314,http://tong.visitkorea.or.kr/cms/resource/40/3383840_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/40/3383840_image3_1.JPG,Type3,128.8700824251,37.7707381838,6,20241010174007,1,,강릉원주대학교 박물관
강원특별자치도 강릉시 구정면 칠성로 13-8,,32,0,A02,A0206,A02061200,2774692,14,20211116183658,170766.47918879378,http://tong.visitkorea.or.kr/cms/resource/45/3393445_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/45/3393445_image3_1.JPG,Type3,128.8961380184,37.6935226206,6,20241021181250,1,,강릉자동차극장
강원특별자치도 강릉시 왕산면 왕산로 2171-19,,32,0,A02,A0206,A02060100,2592013,14,20190315001341,160555.53530800165,http://tong.visitkorea.or.kr/cms/resource/19/3332919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3332919_image3_1.jpg,Type3,128.7846048822,37.6522307832,6,20240919173123,1,,강릉커피박물관
경상북도 예천군 풍양면 삼강리길 53-23,,35,0,A02,A0206,A02060300,2715994,14,20210511223825,162076.21645208687,,,,128.3045411333,36.5637829085,6,20241028144205,16,,강문화전시관
서울특별시 강북구 삼각산로 85,(수유동),1,0,A02,A0206,A02060700,130217,14,20071106104715,8512.657590046096,http://tong.visitkorea.or.kr/cms/resource/33/1894733_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/1894733_image3_1.jpg,Type3,127.0133101828,37.6408434551,6,20240827133524,3,,강북문화원
서울특별시 강서구 금낭화로 178 (방화동),(방화근린공원 내),1,,A02,A0206,A02060300,3304115,14,20240529173731,14909.978935566302,http://tong.visitkorea.or.kr/cms/resource/03/3304103_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/3304103_image3_1.jpg,Type3,126.8146355542,37.5810885136,6,20240529173748,4,,강서별빛우주과학관
서울특별시 강서구 가로공원로 195 (화곡동),화곡동 379-68,1,,A02,A0206,A02060300,3386124,14,20241011165604,13248.848302346545,http://tong.visitkorea.or.kr/cms/resource/68/3386168_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/3386168_image3_1.JPG,Type3,126.8376513443,37.5376050905,6,20241014090943,4,,강서아트리움
전북특별자치도 전주시 완산구 전주천동로 74,,37,0,A02,A0206,A02060300,130090,14,20071106104148,195639.40579281142,http://tong.visitkorea.or.kr/cms/resource/94/1605494_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1605494_image3_1.jpg,Type3,127.1524920198,35.8112813788,6,20241029110659,12,,강암서예관
강원특별자치도 원주시 흥업면 사제로 399-10,,32,0,A02,A0206,A02060100,2555010,14,20180724224056,84856.2275861908,http://tong.visitkorea.or.kr/cms/resource/64/3437164_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3437164_image3_1.jpg,Type3,127.8865289261,37.3252626560,6,20241205131500,9,,강원감영관찰사·무릉고서화미술박물관
강원특별자치도 춘천시 신북읍 신샘밭로 361,,32,0,A02,A0206,A02060100,130664,14,20051017090000,78994.36074470585,http://tong.visitkorea.or.kr/cms/resource/83/3382483_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/3382483_image3_1.JPG,Type3,127.7502791735,37.9254988538,6,20241016143504,13,,강원경찰박물관
강원특별자치도 춘천시 강원대학길 1,(효자동),32,0,A02,A0206,A02060100,129840,14,20071106103246,75497.5458081657,http://tong.visitkorea.or.kr/cms/resource/33/700633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/700633_image3_1.jpg,Type3,127.7438036813,37.8684387044,6,20241031160827,13,,강원대학교중앙박물관
강원특별자치도 삼척시 신기면 강원남부로 3016,,32,0,A02,A0206,A02060100,130670,14,20060327090000,188666.96466643456,http://tong.visitkorea.or.kr/cms/resource/80/3040280_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3040280_image3_1.jpg,Type3,129.0864425560,37.3512296843,6,20240527160645,4,,강원종합박물관
강원특별자치도 춘천시 화목원길 24,,32,0,A02,A0206,A02060100,130728,14,20060209090000,76936.07350379975,,,,127.7255592885,37.9225959520,6,20240528160032,13,,강원특별자치도산림박물관
전라남도 강진군 대구면 청자촌길 33,,38,0,A02,A0206,A02060100,130135,14,20050106090000,340011.8667059577,,,,126.8009030607,34.5087280332,6,20241206153825,1,,강진 고려청자박물관
전라남도 강진군 강진읍 남문길 10,,38,0,A02,A0206,A02060900,1623643,14,20120507184128,325551.75153377175,http://tong.visitkorea.or.kr/cms/resource/20/1606620_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/1606620_image3_1.jpg,Type3,126.7697553845,34.6404905180,6,20241211162430,1,,강진군도서관
전라남도 강진군 강진읍 영랑로1길 9,,38,0,A02,A0206,A02060600,1778079,14,20130110232454,325800.8005238052,,,,126.7705248168,34.6382074538,6,20240613104134,1,,강진아트홀
인천광역시 강화군 송해면 장정양오길 413,,2,0,A02,A0206,A02060300,130733,14,20060220090000,53198.39165405377,,,,126.4547735697,37.7957598993,6,20240603165202,1,,강화 화문석 문화관
인천광역시 강화군 강화읍 고비고개로19번길 12,,2,0,A02,A0206,A02060600,130219,14,20071106104721,49163.16902702056,http://tong.visitkorea.or.kr/cms/resource/82/3350582_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/3350582_image3_1.JPG,Type3,126.4746009394,37.7453439098,6,20241202141901,1,,강화문예회관
인천광역시 강화군 강화읍 관청길 40,,2,0,A02,A0206,A02060200,2657498,14,20200526200600,48463.60961278303,http://tong.visitkorea.or.kr/cms/resource/14/3350514_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/3350514_image3_1.JPG,Type3,126.4855887017,37.7496074946,6,20241210160000,1,,강화문학관
인천광역시 강화군 강화읍 남문로 52,,2,0,A02,A0206,A02060700,129867,14,20071106103340,47950.07678618645,http://tong.visitkorea.or.kr/cms/resource/36/1895136_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1895136_image3_1.jpg,Type3,126.4879775686,37.7425639138,6,20241202123925,1,,강화문화원(강화미술관)
인천광역시 강화군 하점면 강화대로 994-19,,2,0,A02,A0206,A02060100,129810,14,20071106103126,53647.3355015425,http://tong.visitkorea.or.kr/cms/resource/21/3383821_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/21/3383821_image3_1.JPG,Type3,126.4352815292,37.7737399035,6,20241011131045,1,,강화역사박물관
인천광역시 강화군 하점면 강화대로 994-33,,2,0,A02,A0206,A02060100,2523291,14,20171218225634,53734.59249873796,http://tong.visitkorea.or.kr/cms/resource/19/3303819_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3303819_image3_1.jpg,Type3,126.4347315543,37.7746508985,6,20240528160600,1,,강화자연사박물관
인천광역시 강화군 강화읍 해안동로1366번길 18,,2,0,A02,A0206,A02060100,2657495,14,20200526195909,45265.70520878256,,,,126.5160613555,37.7336321177,6,20240607141154,1,,강화전쟁박물관
인천광역시 강화군 하점면 강화서로 915-1,,2,,A02,A0206,A02060300,3340253,14,20240730162202,57234.36061217932,http://tong.visitkorea.or.kr/cms/resource/32/3340232_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3340232_image3_1.jpg,Type3,126.3908883872,37.7735030392,6,20240919104439,1,,강화천문과학관
경상북도 청송군 진보면 청송로 6359,,35,0,A02,A0206,A02060300,1927047,14,20140620005513,216643.69381809252,,,,129.0398047825,36.5234624390,6,20241021131235,21,,객주문학관
부산광역시 해운대구 해운대해변로 302 대림맨션,305호,6,,A02,A0206,A02060500,2834026,14,20220808162726,330225.8823294567,http://tong.visitkorea.or.kr/cms/resource/58/2836058_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2836058_image3_1.jpg,Type3,129.1639936365,35.1610686425,6,20240617181618,16,070-4115-0419,갤러리 ERD 부산
서울특별시 종로구 삼일대로 445,,1,0,A02,A0206,A02060500,745873,14,20090603192703,799.2247324102618,http://tong.visitkorea.or.kr/cms/resource/21/696721_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/696721_image3_1.jpg,Type3,126.9869450321,37.5742729433,6,20241021141003,23,,갤러리 M
경기도 파주시 탄현면 헤이리마을길 48-37,,31,0,A02,A0206,A02060500,2654476,14,20200427225602,34899.05761196867,http://tong.visitkorea.or.kr/cms/resource/60/3383660_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/3383660_image3_1.JPG,Type3,126.7002790678,37.7877540724,6,20241010164418,27,,갤러리 MOA
서울특별시 용산구 회나무로44가길 30,(이태원동),1,0,A02,A0206,A02060500,130573,14,20050525090000,3528.170569856072,http://tong.visitkorea.or.kr/cms/resource/94/1257994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1257994_image3_1.jpg,Type3,126.9943120449,37.5383633594,6,20230222102413,1,,갤러리 S.P
서울특별시 구로구 가마산로25길 21,,1,0,A02,A0206,A02060500,2591878,14,20190314005411,11405.544946114896,http://tong.visitkorea.or.kr/cms/resource/14/3392914_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/3392914_image3_1.JPG,Type3,126.8894255436,37.4970135079,6,20241021114018,7,,갤러리 구루지
서울특별시 강남구 언주로152길 16,(신사동),1,0,A02,A0206,A02060500,130840,14,20060524090000,6943.385677382965,http://tong.visitkorea.or.kr/cms/resource/55/682555_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/682555_image3_1.jpg,Type3,127.0349865585,37.5228103408,6,20241024104751,23,,갤러리 나우
경기도 이천시 신둔면 도자예술로99번길 41,,31,0,A02,A0206,A02060500,2713397,14,20210408232958,47191.45931006552,http://tong.visitkorea.or.kr/cms/resource/78/3392178_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3392178_image3_1.jpg,Type3,127.3844974951,37.2916490012,,20241106154415,26,,갤러리 더 화
서울특별시 종로구 인사동5길 26,(관훈동),1,0,A02,A0206,A02060500,130577,14,20050531090000,538.0856503623568,http://tong.visitkorea.or.kr/cms/resource/07/2022407_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2022407_image3_1.jpg,Type3,126.9848480493,37.5725731030,6,20241209133320,23,,갤러리 라메르
서울특별시 강남구 압구정로46길 71,,1,0,A02,A0206,A02060500,130581,14,20050601090000,6939.9047897051805,http://tong.visitkorea.or.kr/cms/resource/83/2402783_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2402783_image2_1.jpg,Type3,127.0365891542,37.5240907763,6,20241114111633,1,,갤러리 마노
부산광역시 해운대구 해운대해변로298번길 24,,6,0,A02,A0206,A02060500,1381088,14,20110907022016,330439.1534316022,http://tong.visitkorea.or.kr/cms/resource/81/1982281_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1982281_image3_1.jpg,Type3,129.1666100994,35.1602160088,6,20241209143727,16,,갤러리 미고
서울특별시 종로구 삼일대로 461,,1,0,A02,A0206,A02060500,130568,14,20050523090000,874.0144482196949,http://tong.visitkorea.or.kr/cms/resource/11/3384811_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/3384811_image3_1.JPG,Type3,126.9858145422,37.5755949916,6,20241014143420,23,,갤러리 미즈
서울특별시 종로구 자하문로 273 (부암동),,1,0,A02,A0206,A02060500,129846,14,20071106103258,3718.9914417076334,http://tong.visitkorea.or.kr/cms/resource/25/682325_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/682325_image3_1.jpg,Type3,126.9619494147,37.5980502858,6,20241029104659,23,,갤러리 비앤에스
전라남도 여수시 신월로 112 (웅천동),,38,,A02,A0206,A02060300,3446627,14,20241216173552,319146.4706197792,http://tong.visitkorea.or.kr/cms/resource/35/3446535_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3446535_image3_1.jpg,Type1,127.6801617397,34.7482410761,6,20241216173607,13,061-683-0691,갤러리 빛과소금
서울특별시 강남구 학동로 523,,1,0,A02,A0206,A02060500,129927,14,20071106103552,8520.561628551577,http://tong.visitkorea.or.kr/cms/resource/72/3413872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3413872_image3_1.jpg,Type3,127.0560652706,37.5201388076,6,20241113120605,1,,갤러리 서림
서울특별시 용산구 독서당로 122-1 포트힐(Fort Hill) 빌딩,,1,0,A02,A0206,A02060500,130614,14,20050628090000,4473.091142636268,http://tong.visitkorea.or.kr/cms/resource/98/1894998_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/1894998_image3_1.jpg,Type3,127.0128715069,37.5368999735,6,20230413104551,21,,갤러리 스케이프
서울특별시 중구 다산로16길 29,(신당동),1,0,A02,A0206,A02060500,130571,14,20050525090000,3138.831487371569,http://tong.visitkorea.or.kr/cms/resource/92/1894992_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1894992_image3_1.jpg,Type3,127.0134459064,37.5562477360,6,20241120151350,24,,갤러리 스클로
서울특별시 종로구 자하문로6길 20,(통의동),1,0,A02,A0206,A02060500,130190,14,20071106104620,1300.2929385497855,http://tong.visitkorea.or.kr/cms/resource/42/683542_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/683542_image3_1.jpg,Type3,126.9732156208,37.5780694778,6,20241210170008,23,,갤러리 시몬
서울특별시 종로구 율곡로3길 66-17,(안국동),1,0,A02,A0206,A02060500,130616,14,20050628090000,1158.6083181460788,http://tong.visitkorea.or.kr/cms/resource/94/1895694_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1895694_image3_1.jpg,Type3,126.9827480622,37.5788751102,6,20241209135728,23,,갤러리 아트링크
서울특별시 종로구 자하문로6길 15 갤러리 아트싸이드,,1,0,A02,A0206,A02060500,130617,14,20050628090000,1336.3076814641038,http://tong.visitkorea.or.kr/cms/resource/67/2833067_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2833067_image3_1.jpg,Type3,126.9729600813,37.5783222216,6,20240614173612,23,,갤러리 아트사이드
서울특별시 종로구 삼일대로 445 (경운동),,1,0,A02,A0206,A02060500,1252563,14,20110408190108,799.2247324102618,http://tong.visitkorea.or.kr/cms/resource/61/1258061_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1258061_image3_1.jpg,Type3,126.9869450321,37.5742729433,6,20241104135902,1,,갤러리 엠
서울특별시 종로구 인사동10길 18,(관훈동),1,0,A02,A0206,A02060500,129902,14,20071106103453,743.7471975180694,http://tong.visitkorea.or.kr/cms/resource/59/682259_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/682259_image3_1.jpg,Type3,126.9859145721,37.5742229305,6,20241029091703,23,,갤러리 우림
서울특별시 강남구 압구정로71길 14,,1,0,A02,A0206,A02060500,130583,14,20050601090000,7302.030772038449,http://tong.visitkorea.or.kr/cms/resource/77/683577_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/683577_image3_1.jpg,Type3,127.0458882102,37.5275211007,6,20240902105133,1,,갤러리 원
경기도 용인시 수지구 고기동,,31,,A02,A0206,A02060300,3012455,14,20230919174218,25232.78996344281,,,,127.0688716267,37.3521640800,6,20240926192954,23,,갤러리 위
서울특별시 강남구 도산대로87길 25,(청담동),1,0,A02,A0206,A02060500,1005620,14,20100422233655,7677.183364141713,http://tong.visitkorea.or.kr/cms/resource/98/1865698_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/1865698_image3_1.jpg,Type3,127.0501323005,37.5263824203,6,20240611170727,1,,갤러리 피치
서울특별시 종로구 삼청로 14,(사간동),1,0,A02,A0206,A02060500,129917,14,20071106103528,992.467942633842,http://tong.visitkorea.or.kr/cms/resource/50/1570450_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1570450_image3_1.jpg,Type3,126.9798039302,37.5773002409,6,20240823091419,23,,갤러리 현대
서울특별시 종로구 북촌로 137-7,(삼청동),1,0,A02,A0206,A02060500,2543000,14,20180413234207,2054.9496282885266,http://tong.visitkorea.or.kr/cms/resource/03/2543003_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/03/2543003_image2_1.JPG,Type3,126.9829811452,37.5869575087,6,20240930154159,23,,갤러리3안
서울특별시 강남구 압구정로30길 63 (신사동),,1,0,A02,A0206,A02060500,2642151,14,20191223231229,6559.342557196953,,,,127.0291676299,37.5232962909,6,20241205140802,1,,갤러리JJ
서울특별시 종로구 삼청로7길 37 (팔판동),,1,,A02,A0206,A02060500,3012741,14,20230920113220,1709.6417491172367,,,,126.9797981916,37.5838105948,6,20241016191949,23,,갤러리도스
서울특별시 종로구 삼청로 87,(팔판동) 도올빌딩 2층,1,0,A02,A0206,A02060500,130613,14,20050628090000,1637.915403442812,http://tong.visitkorea.or.kr/cms/resource/87/1903887_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1903887_image3_1.jpg,Type3,126.9816702591,37.5832329183,6,20241202135535,23,,갤러리도올
서울특별시 강남구 압구정로 461 네이처 포엠,312호,1,0,A02,A0206,A02060500,129922,14,20071106103539,7550.211822449988,,,,127.0472464824,37.5253102705,6,20240531140449,1,,갤러리미
서울특별시 종로구 율곡로1길 40 (사간동),,1,,A02,A0206,A02060500,3056315,14,20231204105201,1022.4533746813545,http://tong.visitkorea.or.kr/cms/resource/00/3056300_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3056300_image3_1.jpg,Type3,126.9807316132,37.5776613265,6,20240829091407,23,,갤러리미르
경기도 파주시 회동길 37-9,,31,0,A02,A0206,A02060500,749479,14,20090608221657,30512.123312802047,http://tong.visitkorea.or.kr/cms/resource/10/737810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/737810_image3_1.jpg,Type3,126.6843189512,37.7058411153,6,20241204203533,27,,갤러리박영
서울특별시 종로구 팔판길 23,,1,0,A02,A0206,A02060500,130597,14,20050607090000,1601.2374206749591,http://tong.visitkorea.or.kr/cms/resource/14/2025914_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2025914_image3_1.jpg,Type3,126.9809925530,37.5828940563,6,20230814160330,23,,갤러리에이엠
서울특별시 종로구 경희궁2길 12,(내수동),1,0,A02,A0206,A02060500,745781,14,20090603005154,1031.0780821086437,http://tong.visitkorea.or.kr/cms/resource/65/696665_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/696665_image3_1.jpg,Type3,126.9713937114,37.5728728270,6,20240830103025,23,,갤러리정
서울특별시 종로구 북촌로5길 64,(소격동),1,0,A02,A0206,A02060500,130587,14,20050602090000,1271.7430456382933,http://tong.visitkorea.or.kr/cms/resource/81/1837781_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1837781_image3_1.jpg,Type3,126.9814370406,37.5799332974,6,20241202173806,23,,갤러리조선
충청남도 천안시 동남구 봉정로 17-1 (봉명동),,34,,A02,A0206,A02060500,3334621,14,20240718133404,86019.99400977552,http://tong.visitkorea.or.kr/cms/resource/06/3334606_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3334606_image3_1.jpg,Type3,127.1390416260,36.8038481123,6,20240719150812,12,,갤러리현
