addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
서울특별시 송파구 양재대로 932 (가락동),가락몰,1,,A02,A0207,A02070200,3113671,15,20240415100726,14015.027963219849,http://tong.visitkorea.or.kr/cms/resource/94/3332394_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3332394_image3_1.jpg,Type3,127.1107693087,37.4960786971,6,20240717214406,18,02-3435-0455,가락몰 빵축제 전국빵지자랑
서울특별시 송파구 양재대로 932 (가락동),가락몰 판매동 3층 하늘공원,1,,A02,A0207,A02070200,3379778,15,20241004095015,14015.027963219849,http://tong.visitkorea.or.kr/cms/resource/75/3379775_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3379775_image3_1.jpg,Type3,127.1107693087,37.4960786971,6,20241004095147,18,02-3435-0455,가락옥토버페스트 캠핑축제
경상북도 칠곡군 동명면 남원리,625-1 가산산성 진남문 일원,35,,A02,A0207,A02070200,3111770,15,20240326171521,223592.587908342,http://tong.visitkorea.or.kr/cms/resource/50/3111750_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/50/3111750_image3_1.JPG,Type3,128.5892257178,36.0193362823,6,20240329113623,22,010-2998-0103,가산산성 문화유산 야행
경상남도 김해시 분성로261번길 35 (봉황동),수릉원,36,,A02,A0207,A02070200,694576,15,20090218020108,308944.36369851104,http://tong.visitkorea.or.kr/cms/resource/88/3357988_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/3357988_image3_1.jpg,Type3,128.8759611362,35.2350661468,6,20240903132102,4,055-330-6840,가야문화축제
대구광역시 서구 문화로 122 (이현동),청소년수련관 앞 이현공원,4,,A02,A0207,A02070200,2397299,15,20160808200930,233923.05415244037,http://tong.visitkorea.or.kr/cms/resource/70/3333670_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3333670_image3_1.jpg,Type3,128.5455030841,35.8736658721,6,20240806175831,6,053-663-2181,가족사랑 아이스축제
인천광역시 중구 구읍로 63 (중산동),,2,,A02,A0207,A02070200,2986679,15,20230427173710,36969.98613780205,http://tong.visitkorea.or.kr/cms/resource/08/3304508_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3304508_image3_1.jpg,Type3,126.5777264136,37.4891227900,6,20240531153501,10,032-777-9891,가족의 달 어린이 축제
경상남도 거창군 신원면 덕산리,산 57,36,,A02,A0207,A02070200,2746930,15,20210917034525,234919.2379223582,http://tong.visitkorea.or.kr/cms/resource/64/3365964_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3365964_image3_1.jpg,Type3,127.9176661977,35.5893172359,6,20240913143038,2,055-940-8226~7,감악산 꽃별 여행
경상남도 거창군 신원면 덕산리,산57 감악산 정상,36,,A02,A0207,A02070200,1506389,15,20111222202211,234673.77497639356,http://tong.visitkorea.or.kr/cms/resource/28/3443128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3443128_image3_1.jpg,Type3,127.9164356976,35.5913086552,6,20241212144853,2,055-940-3424,감악산 해맞이 행사
충청남도 논산시 강경읍 중앙리,53-7,34,,A02,A0207,A02070200,3346571,15,20240812145047,156184.8887358764,http://tong.visitkorea.or.kr/cms/resource/38/3345938_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/38/3345938_image3_1.png,Type3,127.0177087160,36.1617029716,6,20240814132040,3,041-746-5661~5664,강경 문화유산 야행
충청남도 논산시 강경읍 금백로 45,,34,,A02,A0207,A02070200,506376,15,20080307010237,156627.66349482987,http://tong.visitkorea.or.kr/cms/resource/67/3377467_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/67/3377467_image3_1.JPG,Type3,127.0098123087,36.1575977477,6,20240930144205,3,041-730-2983,강경젓갈축제
서울특별시 서초구 강남대로61길 7 (서초동),강남대로61길 7 ~ 강남대로61길 13,1,,A02,A0207,A02070200,3383832,15,20241010142933,8653.413220318473,http://tong.visitkorea.or.kr/cms/resource/14/3383814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3383814_image3_1.jpg,Type3,127.0259658291,37.4990823788,6,20241015092615,15,070-8892-4020,강남역 케미스트릿 페스티벌
서울특별시 강남구 영동대로 513 (삼성동),,1,,A02,A0207,A02070200,737479,15,20090521185913,9328.144268245822,http://tong.visitkorea.or.kr/cms/resource/39/2998139_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/39/2998139_image3_1.JPG,Type3,127.0592179950,37.5119175967,6,20240829104312,1,02-3423-5543,강남페스티벌
서울특별시 강동구 동남로 870 (상일동),강동아트센터,1,,A02,A0207,A02070200,1806376,15,20130422192127,15746.424295945215,http://tong.visitkorea.or.kr/cms/resource/00/3386100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3386100_image3_1.jpg,Type3,127.1574079432,37.5511370351,6,20241023150501,2,02-471-0044,강동북페스티벌
서울특별시 강동구 올림픽로 875 (암사동),,1,,A02,A0207,A02070200,1307813,15,20110615014707,13287.23170909905,http://tong.visitkorea.or.kr/cms/resource/68/3370168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3370168_image3_1.jpg,Type3,127.1306157102,37.5591134023,6,20241015093606,2,02-3425-5240,강동선사문화축제
강원특별자치도 강릉시 임영로131번길 6,강릉대도호부관아,32,,A02,A0207,A02070200,2541883,15,20180406184032,171078.7041092714,http://tong.visitkorea.or.kr/cms/resource/77/3317777_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3317777_image3_1.jpg,Type3,128.8921226461,37.7532767444,6,20240620170745,1,033-823-3224,강릉 문화유산 야행
강원특별자치도 강릉시 성산면 보현길 396,,32,,A02,A0207,A02070200,3021124,15,20231018114639,160018.37240101665,http://tong.visitkorea.or.kr/cms/resource/86/3370086_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/3370086_image3_1.jpg,Type3,128.7693064482,37.7366262830,6,20240920104148,1,033-648-9431,강릉 보현사 산사천년문화재
강원특별자치도 강릉시 임당동,101-19 강릉월화거리,32,,A02,A0207,A02070200,1302263,15,20110607232722,171491.40226644507,http://tong.visitkorea.or.kr/cms/resource/88/3328988_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/88/3328988_image3_1.png,Type3,128.8961582632,37.7574846698,6,20240625170534,1,033-642-7145,강릉국제청소년예술축전
강원특별자치도 강릉시 경강로 2111 (임당동),,32,,A02,A0207,A02070200,2930716,15,20221206150831,171598.7208850585,http://tong.visitkorea.or.kr/cms/resource/57/3377057_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/3377057_image3_1.jpg,Type3,128.8976276267,37.7558321116,6,20240927162550,1,033-650-2145,강릉누들축제
강원특별자치도 강릉시 단오장길 1,,32,,A02,A0207,A02070200,531391,15,20080415004012,171267.7792102118,http://tong.visitkorea.or.kr/cms/resource/01/3112001_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/3112001_image3_1.jpg,Type3,128.8950169869,37.7482134974,6,20240328141214,1,033-641-1593,강릉단오제
강원특별자치도 강릉시 경포로 513 (안현동),안현동 산2-11 인근,32,,A02,A0207,A02070200,2607445,15,20190620231500,173179.8208595512,http://tong.visitkorea.or.kr/cms/resource/43/2607443_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2607443_image2_1.JPG,Type3,128.9071252485,37.8049988306,6,20240626175134,1,010-6285-8138,강릉비치비어페스티벌
강원특별자치도 강릉시 종합운동장길 69 (교동),,32,,A02,A0207,A02070200,3382732,15,20241008161203,171769.61641018494,http://tong.visitkorea.or.kr/cms/resource/05/3382705_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/3382705_image3_1.jpg,Type3,128.8967993872,37.7731717564,6,20241010111525,1,033-813-0333,강릉시 반려동물문화축제
강원특별자치도 강릉시 창해로14번길 20-1 (견소동),,32,,A02,A0207,A02070100,825295,15,20091022232428,176216.6395460689,http://tong.visitkorea.or.kr/cms/resource/26/3370626_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/3370626_image3_1.jpg,Type3,128.9473365175,37.7726644683,6,20241023142147,1,033-647-6802,강릉커피축제
강원특별자치도 강릉시 종합운동장길 84 (교동),강릉아트센터,32,,A02,A0207,A02070200,3403112,15,20241031142956,171692.47148978547,http://tong.visitkorea.or.kr/cms/resource/81/3444381_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/3444381_image3_1.JPG,Type3,128.8961606001,37.7717469087,6,20241213130312,1,033-640-6802,강릉페스티벌
